QuoteDate,SymbolId,SymbolName,DealVolume,DealCount,DealAmount,OpenPrice,HighPrice,LowPrice,ClosePrice,PriceChange,PriceChangeRatio,PERatio
2017/10/3,1101,台泥,2411654,896,81213873,33.7,33.75,33.65,33.7,0.05,0.15,17.46
2017/10/3,1301,台塑,5522989,2708,504053269,92.1,92.2,91.1,91.2,-0.6,-0.65,13.49
2017/10/3,2002,中鋼,8301039,2389,202815387,24.5,24.55,24.35,24.45,-0.05,-0.2,21.83
2017/10/3,2330,台積電,38330938,12703,8497244691,219,223,219,222.5,2,0.91,16.44
2017/10/5,1101,台泥,3818480,1174,128765103,33.65,33.8,33.65,33.8,0.1,0.3,17.51
2017/10/5,1301,台塑,3625390,1901,331510594,92,92,91.2,91.2,0,0,13.49
2017/10/5,2002,中鋼,7638161,2698,187655286,24.35,24.65,24.35,24.65,0.2,0.82,22.01
2017/10/5,2330,台積電,25397939,8601,5691251336,222,225.5,222,224.5,2,0.9,16.59
2017/10/6,1101,台泥,2930778,896,98897142,33.8,33.85,33.7,33.75,-0.05,-0.15,17.49
2017/10/6,1301,台塑,3374640,1286,310352380,91.5,92.2,91.4,92,0.8,0.88,13.61
2017/10/6,2002,中鋼,6051573,2221,148550341,24.6,24.65,24.5,24.6,-0.05,-0.2,21.96
2017/10/6,2330,台積電,16040516,7612,3604683862,225,225.5,223.5,224.5,0,0,16.59
2017/10/11,1101,台泥,9503497,2916,323233892,33.95,34.2,33.9,34,0.25,0.74,17.62
2017/10/11,1301,台塑,9828850,4433,922950700,92.9,94.4,92.9,94.4,2.4,2.61,13.96
2017/10/11,2002,中鋼,17936423,5514,437804114,24.35,24.55,24.3,24.45,-0.15,-0.61,21.83
2017/10/11,2330,台積電,67649562,20879,15633206754,226.5,233.5,226.5,233,8.5,3.79,17.22
2017/10/12,1101,台泥,4256541,2104,144486186,33.9,34.05,33.8,33.9,-0.1,-0.29,17.56
2017/10/12,1301,台塑,7579945,3275,716539290,93.9,95,93.9,94.6,0.2,0.21,13.99
2017/10/12,2002,中鋼,10610951,3248,259858576,24.35,24.7,24.3,24.7,0.25,1.02,22.05
2017/10/12,2330,台積電,44176186,16490,10450920432,235,237.5,234.5,237.5,4.5,1.93,17.55
2017/10/13,1101,台泥,3944986,2093,133407309,33.85,33.95,33.7,33.75,-0.15,-0.44,17.49
2017/10/13,1301,台塑,5044845,2178,472783190,94.5,94.5,93.4,93.5,-1.1,-1.16,13.83
2017/10/13,2002,中鋼,7401000,2409,182195510,24.7,24.7,24.5,24.7,0,0,22.05
2017/10/13,2330,台積電,23145071,10507,5465540327,237.5,237.5,234.5,237.5,0,0,17.55
2017/10/16,1101,台泥,3491566,1435,118098531,33.85,34,33.7,33.85,0.1,0.3,17.54
2017/10/16,1301,台塑,4088809,1693,381772086,93.5,93.9,93.2,93.2,-0.3,-0.32,13.79
2017/10/16,2002,中鋼,11924432,3945,295188014,24.7,24.85,24.6,24.85,0.15,0.61,22.19
2017/10/16,2330,台積電,20673072,6764,4906963355,237.5,238,236,238,0.5,0.21,17.59
2017/10/17,1101,台泥,2370225,935,80183514,33.9,33.9,33.75,33.9,0.05,0.15,17.56
2017/10/17,1301,台塑,5801207,2116,542137952,93.6,93.8,93.1,93.5,0.3,0.32,13.83
2017/10/17,2002,中鋼,7979427,2880,197836346,24.85,24.85,24.75,24.8,-0.05,-0.2,22.14
2017/10/17,2330,台積電,17652304,6336,4171891244,238,238,235,235.5,-2.5,-1.05,17.41
2017/10/18,1101,台泥,4344694,1763,146921797,33.95,33.95,33.75,33.8,-0.1,-0.29,17.51
2017/10/18,1301,台塑,4945464,1821,460317641,93.9,93.9,92.8,93,-0.5,-0.53,13.76
2017/10/18,2002,中鋼,7787854,3141,192771341,24.8,24.85,24.65,24.85,0.05,0.2,22.19
2017/10/18,2330,台積電,28970850,10330,6901364183,239.5,239.5,237,237.5,2,0.85,17.55
2017/10/19,1101,台泥,5175271,1612,174679775,33.75,33.85,33.7,33.75,-0.05,-0.15,17.49
2017/10/19,1301,台塑,2605572,1576,242342845,93.1,93.5,92.8,92.8,-0.2,-0.22,13.73
2017/10/19,2002,中鋼,6594589,3132,163440907,24.85,24.85,24.7,24.85,0,0,22.19
2017/10/19,2330,台積電,23481776,9033,5636769464,239.5,241.5,239,239,1.5,0.63,17.66
2017/10/20,1101,台泥,5544845,1630,187026560,33.7,33.9,33.55,33.9,0.15,0.44,17.56
2017/10/20,1301,台塑,4885657,1728,453095017,92.7,93,92.5,92.8,0,0,13.73
2017/10/20,2002,中鋼,6450347,2109,159587493,24.8,24.8,24.6,24.75,-0.1,-0.4,22.1
2017/10/20,2330,台積電,27056035,7206,6456386670,238,239.5,237.5,237.5,-1.5,-0.63,17.55
